siren_nic,code_attraction_centre,code_commune_geo,name_commune_src_attr,name_attraction_centre,category_attraction_centre,code_region,name_region,code_department,code_commune_geo.y,name_commune,population_commune,latitude,longitude,siren.x,nic.x,siret,date_creation,year_workforce_record_update,date_latest_update,headquarter,date_creation_legal_unit,category,legal_shop_name,acronym_shop,popular_name_1,popular_name_2,popular_name_3,owner_gender,owner_lastname,owner_lastname_chosen,owner_firstname_1,owner_firstname_2,owner_firstname_3,owner_firstname_4,owner_firstname_used,owner_pseudonym,apen_code,rna_registration_code,social_category,workforce_category,year_workforce_survey,nic_centralized,date_sirene_last_update,category_business,year_category_survey,shop_address_complement_1,name_commune_src_etab,shop_address_complement_2,franchise_1,franchise_2,franchise_3,shop_name_public,shop_address_1,shop_address_2,population_attr_centre,siren.y,nic.y,franchise,carte_blanche,itelis,kalixia,sante_clair,seveane,promotion,audio_service,image date,website,shop_address_python,shop_lat,shop_long
42410089922,633,39006,Aiglepierre,Salins-les-Bains,20,27,Bourgogne-Franche-Comté,39,6,Aiglepierre,452,46.95539445,5.809537944,424100899,22,4.24E+13,02-08-1999 00:00,,05-01-2008 00:50,FALSE,01-08-1999 00:00,3220,ATEN INC,,,,,,,,,,,,,,47.78A,,,NN,,14,06-12-2011 04:24,PME,2019,MME MOUGET MARYSE,AIGLEPIERRE,,,,,,18 RUE DE L EGLISE 39110,  ,5003,,,,,,,,,,,,,18+RUE+DE+L+EGLISE+39110+Aiglepierre,46.95151,5.82174
49143774512,645,73006,Aime-la-Plagne,Aime-la-Plagne,11,84,Auvergne-Rhône-Alpes,73,6,Aime-la-Plagne,4554,45.55257689,6.618369746,491437745,12,4.91E+13,09-08-2006 00:00,2019,27-10-2021 08:29,TRUE,09-08-2006 00:00,5499,AIME OPTIQUE,,AIME OPTIQUE,,,,,,,,,,,,47.78A,,N,2,2019,12,27-10-2021 08:29,PME,2019,,AIME-LA-PLAGNE,,AIME OPTIQUE,,,,262  GRANDE RUE 73210,  ,4554,,,,0,0,0,0,0,,0,01-09-2018 00:00,https://aime-optique.fr/,262++GRANDE+RUE+73210+Aime-la-Plagne,45.557065,6.652818
45149238326,566,66003,Amélie-les-Bains-Palalda,Amélie-les-Bains-Palalda,11,76,Occitanie,66,3,Amélie-les-Bains-Palalda,3492,42.44368591,2.683384321,451492383,26,4.51E+13,01-01-2015 00:00,2019,27-10-2021 08:07,TRUE,08-01-2004 00:00,5499,A  VISION,KD,,,,,,,,,,,,,47.78A,,N,1,2019,26,27-10-2021 08:07,PME,2019,,AMELIE-LES-BAINS-PALALDA,,VISION EXPERT,,,VISION EXPERT 66,21 AV DU VALLESPIR 66110,  ,6897,,,,1,0,0,0,0,,0,01-05-2022 00:00,https://vision-expert-66.com/,21+AV+DU+VALLESPIR+66110+Amélie-les-Bains-Palalda,42.473197,2.669277
45173448723,565,69006,Amplepuis,Amplepuis,11,84,Auvergne-Rhône-Alpes,69,6,Amplepuis,5097,45.96519849,4.326762917,451734487,23,4.52E+13,01-10-2007 00:00,2019,27-10-2021 08:07,FALSE,13-01-2004 00:00,5499,OPTIQUE RABOURDIN,,,,,,,,,,,,,,47.78A,,,11,2019,15,27-10-2021 08:07,PME,2019,,AMPLEPUIS,,LES OPTICIENS RABOURDIN,,,,13 RUE DE L HOTEL DE VILLE 69550,  ,6998,,,,0,1,0,1,0,,0,01-04-2016 00:00,https://www.opticiensrabourdin.fr/,13+RUE+DE+L+HOTEL+DE+VILLE+69550+Amplepuis,45.97326,4.331615
50141803214,565,69006,Amplepuis,Amplepuis,11,84,Auvergne-Rhône-Alpes,69,6,Amplepuis,5097,45.96519849,4.326762917,501418032,14,5.01E+13,02-01-2008 00:00,2019,27-10-2021 08:03,TRUE,02-01-2008 00:00,5499,I.D. OPTIQUE,,I & D OPTICIENS,,,,,,,,,,,,47.78A,,,1,2019,14,27-10-2021 08:03,PME,2019,,AMPLEPUIS,,,,,,10 PL GENERAL DE GAULLE 69550,  ,6998,,,,0,0,0,0,0,,1,01-12-2015 00:00,https://www.id-opticiens.fr/,10+PL+GENERAL+DE+GAULLE+69550+Amplepuis,45.973295,4.332483
52882721521,565,69006,Amplepuis,Amplepuis,11,84,Auvergne-Rhône-Alpes,69,6,Amplepuis,5097,45.96519849,4.326762917,528827215,21,5.29E+13,01-01-2011 00:00,2019,27-10-2021 08:35,FALSE,08-11-2010 00:00,5499,ALEXANDRE OPTIQUE,,,,,,,,,,,,,,47.78A,,,1,2019,13,27-10-2021 08:35,PME,2019,,AMPLEPUIS,,OPTIC 2000,,,,21 RUE DE L HOTEL DE VILLE 69550,  ,6998,,,,0,0,0,0,0,,0,01-09-2017 00:00,http://alexandreoptique.expertsantevisuelle.com/,21+RUE+DE+L+HOTEL+DE+VILLE+69550+Amplepuis,45.973219,4.331928
35218998936,579,39013,Arbois,Arbois,11,27,Bourgogne-Franche-Comté,39,13,Arbois,3544,46.89417498,5.773182533,352189989,36,3.52E+13,01-03-2005 00:00,2019,15-03-2022 04:23,TRUE,30-09-1989 00:00,5710,OPTIC CONTACT,,,,,,,,,,,,,,47.78A,,,1,2019,36,15-03-2022 04:23,PME,2019,,ARBOIS,,,,,,47 GR RUE 39600,  ,6680,,,,0,0,0,0,0,,0,01-09-2021 00:00,,47+GR+RUE+39600+Arbois,46.903535,5.772661
7.76E+11,579,39013,Arbois,Arbois,11,27,Bourgogne-Franche-Comté,39,13,Arbois,3544,46.89417498,5.773182533,775597487,427,7.76E+13,22-09-2014 00:00,2019,27-10-2021 08:54,FALSE,01-01-1900 00:00,8210,MUTUALITE FRANCAISE JURA,,,,,,,,,,,,,,65.12Z,,O,32,2019,62,16-02-2022 09:48,PME,2019,,ARBOIS,,,,,LES OPTICIENS MUTUALISTES,67  GRANDE RUE 39600,  ,6680,,,ecouter voir,0,0,0,0,,,1,01-01-2020 00:00,https://www.ecoutervoir.fr/trouver-un-magasin/arbois/,67++GRANDE+RUE+39600+Arbois,46.903966,5.771793
79016742317,579,39013,Arbois,Arbois,11,27,Bourgogne-Franche-Comté,39,13,Arbois,3544,46.89417498,5.773182533,790167423,17,7.90E+13,19-12-2012 00:00,2019,27-10-2021 08:58,TRUE,19-12-2012 00:00,5499,DEVILLERS,,,,,,,,,,,,,,47.78A,,,1,2019,17,27-10-2021 08:58,PME,2019,,ARBOIS,,OPTIQUE DES VIGNES,,,,73  GRANDE RUE 39600,  ,6680,,,,1,0,0,0,1,,1,01-09-2021 00:00,,73++GRANDE+RUE+39600+Arbois,46.904153,5.771408
90435053512,579,39013,Arbois,Arbois,11,27,Bourgogne-Franche-Comté,39,13,Arbois,3544,46.89417498,5.773182533,904350535,12,9.04E+13,29-09-2021 00:00,,21-10-2021 08:47,TRUE,29-09-2021 00:00,5710,LUNETTERIE MARION LIVET,,,,,,,,,,,,,,47.78A,,N,,,12,21-10-2021 08:47,,,,ARBOIS,,,,,,3 RUE DE LA FAIENCERIE 39600,  ,6680,,,,,,,,,,,,,3+RUE+DE+LA+FAIENCERIE+39600+Arbois,46.906785,5.777888
