"","siren_nic","code_attraction_centre","code_commune_geo","name_commune_src_attr","name_attraction_centre","category_attraction_centre","code_region","name_region","code_department","code_commune_geo.y","name_commune","population_commune","latitude","longitude","siren.x","nic.x","siret","date_creation","year_workforce_record_update","date_latest_update","headquarter","date_creation_legal_unit","category","legal_shop_name","acronym_shop","popular_name_1","popular_name_2","popular_name_3","owner_gender","owner_lastname","owner_lastname_chosen","owner_firstname_1","owner_firstname_2","owner_firstname_3","owner_firstname_4","owner_firstname_used","owner_pseudonym","apen_code","rna_registration_code","social_category","workforce_category","year_workforce_survey","nic_centralized","date_sirene_last_update","category_business","year_category_survey","shop_address_complement_1","name_commune_src_etab","shop_address_complement_2","franchise_1","franchise_2","franchise_3","shop_name_public","shop_address_1","shop_address_2","population_attr_centre","siren.y","nic.y","franchise","carte_blanche","itelis","kalixia","sante_clair","seveane","promotion","audio_service","image date","website"
"1","2735027155","667","22020","Broons","Broons",11,"53","Bretagne","22","020","Broons",2935,48.3108134882,-2.24133807266,27350271,55,2.73503e+12,"01-05-2007",NA,2014-06-27 00:10:31,FALSE,"01-01-1973",5499,"OPTIC ARMOR SARL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"2",2019,48,2021-10-27 08:00:52,"PME",2019,NA,"BROONS",NA,"OPTIC ARMOR",NA,NA,NA,"1 RUE DE LA TRINITE 22250","  ",3718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","301712626102","528","12096","Espalion","Espalion",11,"76","Occitanie","12","096","Espalion",4643,44.5188717043,2.76426608276,301712626,102,3.01713e+13,"02-01-2003",2019,2021-10-27 08:14:07,FALSE,"01-01-1974",5710,"OPTIQUE DUBOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","12",2019,177,2021-11-27 04:03:59,"PME",2019,NA,"ESPALION",NA,"DUBOR OPTICIENS KRYS",NA,NA,NA,"23 BD JOSEPH POULENC 12500","  ",8178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","30688173162","648","76400","Luneray","Luneray",11,"28","Normandie","76","400","Luneray",2248,49.8227333447,0.917982419678,306881731,62,3.06882e+13,"01-04-1996",2019,2021-10-27 08:16:06,FALSE,"01-01-1966",5499,"""S.E.D.O.M.A.""","SEDOMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.74Z",NA,"N","2",2019,138,2021-10-27 08:16:06,"PME",2019,NA,"LUNERAY",NA,"LUNOPTIQUE",NA,NA,NA," PL RENE COTY 76810","  ",4472,"306881731","62","vision plus",NA,NA,NA,NA,NA,NA,NA,2022-04-01,"https://www.lecollectifdeslunetiers.fr/opticien/france/seine-maritime/opticien-luneray/luneray-placecoty"
"4","31232618440","586","60104","Breteuil","Breteuil",11,"32","Hauts-de-France","60","104","Breteuil",4454,49.6340425257,2.29183403499,312326184,40,3.12326e+13,"01-01-2014",2019,2021-10-27 08:18:02,TRUE,"01-01-1978",5499,"BRET'OEIL OPTIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","1",2019,40,2021-10-27 08:18:02,"PME",2019,NA,"BRETEUIL",NA,NA,NA,NA,NA,"17 RUE DE LA REPUBLIQUE 60120","  ",6290,"312326184","40",NA,0,0,0,0,0,NA,0,2019-07-01,"https://optique-dutertre.fr/"
"5","31417677730","501","57106","Bouzonville","Bouzonville",11,"44","Grand Est","57","106","Bouzonville",4027,49.2988626834,6.54161019887,314176777,30,3.14177e+13,"01-07-1993",2019,2021-10-27 08:18:45,TRUE,"01-01-1978",5499,"VISION 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"2",2019,30,2021-10-27 08:18:45,"PME",2019,NA,"BOUZONVILLE",NA,NA,NA,NA,NA,"47 RUE DE LA REPUBLIQUE 57320","  ",8799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","31553669822","644","10034","Bar-sur-Seine","Bar-sur-Seine",11,"44","Grand Est","10","034","Bar-sur-Seine",3202,48.1127221863,4.37880982139,315536698,22,3.15537e+13,"01-04-2004",2019,2021-10-27 08:19:23,TRUE,"01-01-1979",1000,NA,NA,NA,NA,NA,"M","GUICHON",NA,"ROGER","PAUL",NA,NA,"ROGER",NA,"47.78A",NA,NA,"1",2019,22,2021-10-27 08:19:23,"PME",2019,NA,"BAR-SUR-SEINE",NA,NA,NA,NA,NA," CHE DU VAL MORE 10110","  ",4757,"315536698","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","31833905848","517","57089","Bitche","Bitche",11,"44","Grand Est","57","089","Bitche",5216,49.0473471719,7.459601871,318339058,48,3.18339e+13,"19-12-1991",2019,2021-10-27 08:20:41,TRUE,"01-06-1980",5499,"ALSALOR OPTIQUE",NA,"OPTIQUE DU CENTRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"3",2019,48,2021-10-27 08:20:41,"PME",2019,NA,"BITCHE",NA,NA,NA,NA,NA,"48 RUE MARECHAL FOCH 57230","  ",8601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","31882733418","490","66049","Céret","Céret",11,"76","Occitanie","66","049","Céret",8026,42.4739622057,2.75268021455,318827334,18,3.18827e+13,"01-04-1980",2019,2021-10-27 08:20:55,TRUE,"01-04-1980",5499,"EURL OPTIC 2000 CERET",NA,"OPTIC 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","2",2019,18,2021-10-27 08:20:55,"PME",2019,"11 ET 13","CERET",NA,NA,NA,NA,NA,"11 BD MAL JOFFRE 66400","  ",9480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","32167491317","640","38399","Saint-Jean-de-Bournay","Saint-Jean-de-Bournay",11,"84","Auvergne-Rhône-Alpes","38","399","Saint-Jean-de-Bournay",4699,45.4982631773,5.14748470946,321674913,17,3.21675e+13,"13-04-1981",2019,2021-10-27 08:22:24,TRUE,"13-04-1981",5499,"OPTIQUE SAINT JEAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","3",2019,17,2021-10-27 08:22:24,"PME",2019,NA,"SAINT-JEAN-DE-BOURNAY",NA,"VISION PLUS",NA,NA,NA,"61 RUE REPUBLIQUE 38440","  ",4699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","32167491325","640","38399","Saint-Jean-de-Bournay","Saint-Jean-de-Bournay",11,"84","Auvergne-Rhône-Alpes","38","399","Saint-Jean-de-Bournay",4699,45.4982631773,5.14748470946,321674913,25,3.21675e+13,"24-08-2002",2019,2021-10-27 08:22:24,FALSE,"13-04-1981",5499,"OPTIQUE SAINT JEAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","3",2019,17,2021-10-27 08:22:24,"PME",2019,NA,"SAINT-JEAN-DE-BOURNAY",NA,"KRYS",NA,NA,NA,"72 RUE DE LA REPUBLIQUE 38440","  ",4699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","32257851925","496","64410","Mourenx","Mourenx",11,"75","Nouvelle-Aquitaine","64","410","Mourenx",6660,43.3740220656,-0.617464224458,322578519,25,3.22579e+13,"21-07-1981",2019,2021-10-27 08:22:54,FALSE,"21-07-1981",5710,"COUDERC OPTIQUE SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","2",2019,17,2021-10-27 08:22:54,"PME",2019,NA,"MOURENX",NA,NA,NA,NA,NA," BD DE LA REPUBLIQUE 64150","  ",8978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","32667774723","488","16106","Confolens","Confolens",11,"75","Nouvelle-Aquitaine","16","106","Confolens",2825,46.0191386034,0.658522279035,326677747,23,3.26678e+13,"26-07-1988",2019,2021-10-27 08:25:24,TRUE,"01-02-1983",5499,"EURO OPTIQUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"1",2019,23,2021-10-27 08:25:24,"PME",2019,NA,"CONFOLENS",NA,NA,NA,NA,NA,"2 PL HENRI COURSAGET 16500","  ",9586,"326677747","23",NA,0,0,0,0,0,NA,1,2020-06-01,"https://www.eurooptique.com/"
